Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AT,AX,AG,GB,CD,TC,AZ,FZ,MX,RA,GF,TZ,TN,RL,FL,PW,PS,RZ,PL,PH,SG,PB,DG,EZ,FR,WZ,PZ,GZ,FF,WG,AE,TD,GD,AS,AM,CI,WO,DF,PD,GT,FT
2023-05-15,82.61,100.0,23,4,0,3610,753,0,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-16,90.48,100.0,21,2,0,3008,361,0,4.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-17,86.96,100.0,23,3,0,3565,259,0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18,72.73,95.45,22,6,1,3554,1131,131,8.0,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
2023-05-19,47.83,95.65,23,12,1,3603,2246,240,20.0,10.0,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
2023-05-20,63.64,100.0,22,8,0,3610,1376,0,16.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-21,68.18,100.0,22,7,0,3414,1420,0,8.0,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,39.13,100.0,23,14,0,3759,2592,0,19.0,10.0,6.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
2023-05-23,85.0,100.0,20,3,0,2912,533,0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-24,100.0,100.0,23,0,0,3498,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-25,72.73,100.0,22,6,0,3572,946,0,11.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-26,83.33,100.0,24,4,0,3640,662,0,5.0,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-27,95.24,100.0,21,1,0,3454,267,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-28,95.45,95.45,22,1,1,3652,224,224,3.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-29,86.96,100.0,23,3,0,3381,505,0,5.0,1.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30,80.95,95.24,21,4,1,2730,490,149,5.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-31,69.57,100.0,23,7,0,3536,993,0,11.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2023-06-01,90.48,100.0,21,2,0,3355,320,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02,70.83,100.0,24,7,0,3774,1219,0,9.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2023-06-03,59.09,95.45,22,9,1,3676,1662,273,13.0,9.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-04,78.26,100.0,23,5,0,3972,1159,0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023-06-05,73.91,95.65,23,6,1,3853,1044,162,10.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2023-06-06,81.82,100.0,22,4,0,3498,610,0,6.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2023-06-07,78.26,100.0,23,5,0,3674,974,0,7.0,4.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-08,63.64,100.0,22,8,0,3913,1219,0,14.0,8.0,4.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09,66.67,100.0,24,8,0,4065,1438,0,13.0,5.0,3.0,,,,,,,,,2.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2023-06-10,77.27,100.0,22,5,0,4049,989,0,8.0,5.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
